		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000  239  257  241  223  259  244  250  211  8.478108 0.388212 SUCCESS  76
100101000  259  236  245  259  282  238  235  240  8.819160 0.357781 SUCCESS  77
100110000  224  237  259  254  247  241  275  233  7.920985 0.441226 SUCCESS  78
100111000  230  264  252  272  239  266  212  236 12.864121 0.116611 SUCCESS  79
101000000  234  255  227  270  254  224  223  230  9.879387 0.273594 SUCCESS  80
101000100  240  252  219  251  261  236  259  262  6.986800 0.538058 SUCCESS  81
101001000  256  257  230  258  237  258  259  235  5.281540 0.727104 SUCCESS  82
101001100  240  235  229  269  242  261  266  255  7.769524 0.456302 SUCCESS  83
101010000  250  248  268  257  258  242  255  239  4.774198 0.781415 SUCCESS  84
101010100  251  256  239  250  257  227  267  259  6.154294 0.629953 SUCCESS  85
101011000  243  246  228  221  220  219  256  240  9.197283 0.325928 SUCCESS  86
101011100  250  287  235  219  239  244  241  232 11.737167 0.163322 SUCCESS  87
101100000  232  240  263  253  256  251  259  263  5.782526 0.671577 SUCCESS  88
101100100  250  237  274  252  251  244  262  233  6.483695 0.593217 SUCCESS  89
101101000  242  231  227  272  230  240  217  248  9.381578 0.311136 SUCCESS  90
101101100  241  237  246  255  249  205  278  256 12.817518 0.118284 SUCCESS  91
101110000  251  278  250  195  262  249  270  227 20.965695 0.007239 FAILURE  92
101110100  228  234  246  246  251  244  234  260  3.268062 0.916427 SUCCESS  93
101111000  232  236  230  241  244  287  242  238  9.755464 0.282610 SUCCESS  94
101111100  223  228  256  231  238  224  221  234  8.894361 0.351286 SUCCESS  95
110000000  239  225  270  233  235  252  256  267  8.451628 0.390641 SUCCESS  96
110000010  219  255  267  253  233  254  251  240  6.935960 0.543558 SUCCESS  97
110000100  245  240  243  226  239  256  250  237  2.542532 0.959718 SUCCESS  98
110001000  245  241  240  231  216  239  247  249  4.444797 0.814930 SUCCESS  99
110001010  248  266  261  248  239  238  261  229  5.806887 0.668853 SUCCESS 100
110010000  249  246  261  208  248  221  237  235  9.748050 0.283157 SUCCESS 101
110010010  255  234  243  239  257  232  223  253  4.601554 0.799189 SUCCESS 102
110010100  251  248  216  255  249  252  231  233  5.733804 0.677021 SUCCESS 103
110011000  247  262  246  226  256  231  247  257  4.859991 0.772430 SUCCESS 104
110011010  235  238  211  246  253  251  221  239  8.086216 0.425094 SUCCESS 105
110100000  245  257  241  256  256  242  217  232  5.700970 0.680687 SUCCESS 106
110100010  248  235  241  271  235  237  238  261  5.451006 0.708462 SUCCESS 107
110100100  240  256  239  261  261  249  272  236  6.866054 0.551151 SUCCESS 108
110101000  242  254  276  249  236  243  233  228  6.748487 0.563996 SUCCESS 109
110101010  222  235  226  250  253  242  264  238  6.150057 0.630428 SUCCESS 110
110101100  249  256  239  230  228  204  247  229 10.581615 0.226550 SUCCESS 111
110110000  206  225  248  251  243  238  265  270 12.818577 0.118246 SUCCESS 112
110110010  263  234  259  233  244  238  233  236  4.368537 0.822437 SUCCESS 113
110110100  242  222  235  256  240  265  233  255  5.986945 0.648694 SUCCESS 114
110111000  266  270  237  223  232  240  265  241  9.552104 0.297879 SUCCESS 115
110111010  224  229  218  259  227  247  225  264 11.014814 0.200861 SUCCESS 116
110111100  239  224  232  245  262  274  242  264  9.280957 0.319152 SUCCESS 117
111000000  250  246  252  224  251  267  248  259  5.557982 0.696608 SUCCESS 118
111000010  233  218  262  230  252  237  255  235  6.946551 0.542410 SUCCESS 119
111000100  250  260  253  229  231  276  231  248  8.344653 0.400548 SUCCESS 120
111000110  247  243  266  254  251  261  234  243  4.327230 0.826459 SUCCESS 121
111001000  258  278  248  226  228  237  204  240 15.342573 0.052817 SUCCESS 122
111001010  248  243  231  220  241  256  234  241  4.379129 0.821401 SUCCESS 123
111001100  231  241  235  227  255  237  249  245  3.186506 0.922114 SUCCESS 124
111010000  250  241  235  270  255  226  235  231  6.352358 0.607826 SUCCESS 125
111010010  240  235  258  237  272  224  263  245  7.976062 0.435812 SUCCESS 126
111010100  243  252  269  255  258  236  240  251  4.758311 0.783068 SUCCESS 127
111010110  255  247  236  248  246  216  261  256  6.049436 0.641694 SUCCESS 128
111011000  227  238  256  248  237  257  246  259  3.932160 0.863192 SUCCESS 129
111011010  246  214  222  255  235  267  226  261 11.602652 0.169832 SUCCESS 130
111011100  274  252  220  229  219  244  239  244 10.264924 0.246922 SUCCESS 131
111100000  242  262  249  250  236  241  228  264  4.715944 0.787460 SUCCESS 132
111100010  230  234  247  238  237  257  237  231  3.335849 0.911549 SUCCESS 133
111100100  256  240  250  228  259  239  209  242  8.212257 0.413016 SUCCESS 134
111100110  244  244  232  245  258  240  243  242  1.538441 0.992051 SUCCESS 135
111101000  256  239  234  269  257  237  242  246  4.715944 0.787460 SUCCESS 136
111101010  237  257  252  251  266  236  231  245  4.420436 0.817339 SUCCESS 137
111101100  251  260  238  241  232  252  239  242  2.484278 0.962460 SUCCESS 138
111101110  261  230  237  252  224  243  232  244  4.873760 0.770980 SUCCESS 139
111110000  239  232  263  236  239  235  244  260  4.055023 0.852125 SUCCESS 140
111110010  244  226  252  232  257  266  240  242  5.098304 0.747020 SUCCESS 141
111110100  246  248  230  268  269  254  252  256  7.233586 0.511653 SUCCESS 142
111110110  255  218  235  233  251  242  258  255  5.805828 0.668972 SUCCESS 143
111111000  247  236  243  230  265  249  252  249  3.475659 0.901071 SUCCESS 144
111111010  251  259  260  265  288  245  236  261 13.696627 0.090024 SUCCESS 145
111111100  247  248  253  237  258  246  242  259  2.434497 0.964715 SUCCESS 146
111111110  243  245  244  234  259  255  245  251  2.084972 0.978295 SUCCESS 147

