seed,n_dims,n_bytes,monobit_test_exact,frequency_within_block_test_exact,runs_test_exact,longest_run_ones_in_a_block_test_exact,binary_matrix_rank_test_exact,dft_test_exact,non_overlapping_template_matching_test_exact,overlapping_template_matching_test_exact,maurers_universal_test_exact,linear_complexity_test_exact,serial_test_exact,approximate_entropy_test_exact,cumulative_sums_test_exact,random_excursion_test_exact,random_excursion_variant_test_exact,monobit_test_diag,frequency_within_block_test_diag,runs_test_diag,longest_run_ones_in_a_block_test_diag,binary_matrix_rank_test_diag,dft_test_diag,non_overlapping_template_matching_test_diag,overlapping_template_matching_test_diag,maurers_universal_test_diag,linear_complexity_test_diag,serial_test_diag,approximate_entropy_test_diag,cumulative_sums_test_diag,random_excursion_test_diag,random_excursion_variant_test_diag,monobit_test_tridiag,frequency_within_block_test_tridiag,runs_test_tridiag,longest_run_ones_in_a_block_test_tridiag,binary_matrix_rank_test_tridiag,dft_test_tridiag,non_overlapping_template_matching_test_tridiag,overlapping_template_matching_test_tridiag,maurers_universal_test_tridiag,linear_complexity_test_tridiag,serial_test_tridiag,approximate_entropy_test_tridiag,cumulative_sums_test_tridiag,random_excursion_test_tridiag,random_excursion_variant_test_tridiag,monobit_test_dense,frequency_within_block_test_dense,runs_test_dense,longest_run_ones_in_a_block_test_dense,binary_matrix_rank_test_dense,dft_test_dense,non_overlapping_template_matching_test_dense,overlapping_template_matching_test_dense,maurers_universal_test_dense,linear_complexity_test_dense,serial_test_dense,approximate_entropy_test_dense,cumulative_sums_test_dense,random_excursion_test_dense,random_excursion_variant_test_dense
9,10,150000,0.27733903120001624,0.9911754857914034,0.7144417786298203,0.7687360163187459,0.527039394630772,0.49213288476818584,0.9999982516328608,0.2231508486702494,0.8609928200477523,0.7843256893746106,0.3500887784134496,0.6343165079984222,0.0896079212876808,0.002634781041337156,0.04201885767968583,0.4475483637019938,0.8988646760015592,0.6648494142346639,0.22462023419239172,0.444148323583832,0.681456196654697,0.9999934409946728,0.4325370610564291,0.1047526753660648,0.0005937747841071494,0.262710769395744,0.49552060353660615,0.4713521020232043,0.33486965295114607,0.04544856946057185,0.0,0.0,0.0,3.1821425549063656e-25,0.0,0.0,0.6867356007584201,6.552947397657354e-45,0.0,0.0,0.0,0.0,0.0,0.029800585570426356,0.05495984051864278,0.2515610819118367,0.6846525056330994,0.08758614734152248,0.8939959329919833,0.6028147114033138,0.2761449949034186,0.9999990945210349,0.44066543325737184,0.044603113243652404,0.7856554299933125,0.3573495193089485,0.3738615792891971,0.18042022701754235,0.110313224172903,0.29581293822825316
38,10,150000,0.19362557777132094,0.8393590760364208,0.5273929324582904,0.6825800939261417,0.40244255297337295,0.3836361547440992,0.9999979818560957,0.01712739047769955,0.7377017623172074,0.8033669689209693,0.7033619514768756,0.8291848579459783,0.3332632777208522,0.18859200756754962,0.023293156496271655,0.27093045793423587,0.24554746494471194,0.7920678069335156,0.23109809538803439,0.14759866993641801,0.8275818026578532,0.9999999908779463,0.38267184748076305,0.6402547873943933,0.17603568891103774,0.5559628817569447,0.6403589094093761,0.3168052200872742,0.6690351729880514,0.19853015497724547,0.0,0.0,0.0,5.171370589643653e-11,0.0,0.0,0.00041144163255803137,2.2047486527392766e-24,0.0,0.0,0.0,0.0,0.0,0.02339158694235906,0.4155354407347882,0.7259316479612188,0.6651057389597972,0.7798989621448632,0.16817829735103076,0.15570277444461503,0.8341149529029597,0.9999999968388682,0.6637141055297238,0.5750755295786308,0.655980044952374,0.05491989593524005,0.17602221009726257,0.7017158370085905,0.11882324377704108,0.07099452678926299
0,10,150000,0.07535909913856753,0.9921366004351766,0.37140155811412745,0.981749505408125,0.6116346204561297,0.840659574807994,0.9999997254490375,0.4078723497577844,0.7406943872854174,0.525579338835029,0.6144315582354293,0.614945219606378,0.06791109594678524,0.07612289084086858,0.0031439848921661954,0.20188710495955953,0.987520391028935,0.587882511556312,0.3148360714019849,0.39571529776752273,0.09888478169692327,1.0000024049748546,0.006777447923980859,0.6266834993028032,0.5777279044548391,0.8366050403004226,0.864115279524288,0.2999312629352522,0.10577097890758626,0.24472137282141637,0.645453811944337,0.5653143141516501,0.12205376498510534,0.8085732987461391,0.7168895671670412,0.4661204629425809,1.0000242415798497,0.3602201206231776,0.25278847644085956,0.8169182133204974,0.9244415353460478,0.9244854353119752,0.7445726677908704,0.09319161565606489,0.19041090210740508,0.0,0.0,0.0,0.1127303854817296,1.7470933553150997e-59,0.0,0.9577989620322899,0.1250521318915657,0.0,0.0,0.0,0.0,0.0,0.011939379054879653,0.015493975331426291
6,10,150000,0.09055778571280992,0.10130536456222795,0.6277760988878807,0.8180791291488687,0.11159382957129405,0.18287483534642002,1.00000001054875,0.5451643874318595,0.6113050371737874,0.23225789508771386,0.022659720986651644,0.02700928151369515,0.056655698433035084,0.20538099008094776,0.18966239976414567,0.1802146161574707,0.18087163105190993,0.4452561221347777,0.09289428421787228,0.9902080322424666,0.7502354112378082,0.9999987997190316,0.4717920538735586,0.41451260965057957,0.9107343020178085,0.24664006191553314,0.3162300462233475,0.08616238164758538,0.13283524001102398,0.19489355387634544,0.7438132651158024,0.36977495051255616,0.7258584695865893,0.7321361020960954,0.40805632531399577,0.32702780321829783,1.0000005148607831,0.9692342783651068,0.5026114986678355,0.2092839553149751,0.8649563989760618,0.9875922418203412,0.8868837397715732,0.3504851747622839,0.19333141551191924,0.0,0.0,0.0,0.8816502730221106,1.8487431301278777e-24,0.0,0.7943771206594029,0.7224820469622139,0.0,1.3889567817487984e-163,0.0,0.0,0.0,0.06486945975980032,0.34176291893381616
12,10,150000,0.20644066316069065,0.34651433366575546,0.7573828465855239,0.23690243060222346,0.22848923239090252,0.18013726777423833,1.000000002908285,0.8594724052851371,0.7045252426647537,0.39333289288404544,0.4906516274335128,0.6885999792203336,0.21948256526778298,0.2164501945398239,0.17463559487427682,0.08155084554469527,0.4362170384315566,0.8301135074883044,0.2709021198819569,0.8938284130599504,0.3481248090061335,1.0000282477151887,0.6374334012867253,0.19099678971228318,0.3649257672489586,0.2106067093213754,0.31941455930116486,0.1008637835672197,0.333956855246356,0.3453293193418333,0.9069809186712843,0.7417491423573682,0.3622781265355072,0.7773282555762291,0.15453375868519179,0.20589326613380177,1.000000000531809,0.8531009840689278,0.35591394707390456,0.5551785946481107,0.17353272611531603,0.1735386574434674,0.5989931578349135,0.0007796932089502135,0.11425765647857211,0.0,0.0,0.0,0.8269537369365342,4.826065148338205e-41,0.0,0.5136719182211009,0.763051668005775,0.0,2.263900666359517e-193,0.0,0.0,0.0,0.03516224840679056,0.11765287293121018
2,10,150000,0.8997507734330006,0.8211611798915123,0.016685656685221057,0.377406221245687,0.3491355788060594,0.9866327427053725,1.0000435964597234,0.02533308201119547,0.318943058091949,0.4740480630283542,0.27228773055925487,0.27199735293432886,0.8718267286117032,0.08190945651329833,0.39894433510945126,0.6785494089072132,0.578138029060394,0.03105570275605499,0.20795719409169153,0.33571768048347095,0.4458725526799854,1.0000013838259536,0.7315789527743289,0.17541538327391526,0.0927141719855273,0.3227359677723681,0.3199696192437198,0.6871594969025923,0.0617485050702771,0.0053229231911913035,0.026660656454674504,0.39537656275041505,0.8145742812392176,0.6344121764034394,0.4699983317710879,0.3745567352175897,0.999996975071248,0.4187168916322704,0.842562754984373,0.3536847790557893,0.2812635309692149,0.2811004729481576,0.01570811524489102,0.0036266137724779613,0.08911844759504206,0.0,0.0,0.0,0.39575403528507214,9.874114914770201e-61,0.0,0.9120440355470513,0.007910030470653516,0.0,0.0,0.0,0.0,0.0,0.10331751023048662,0.2412193912090329
33,10,150000,0.49241114101330563,0.9383265341678863,0.4386085407872944,0.7764933167572654,0.3972368140832417,0.5632517011267673,1.0000002451096819,0.21065332462316796,0.4635950456274206,0.7228299500936827,0.055037307334534546,0.05500240246152005,0.47780713450721723,0.021584443229644482,0.06963563081061197,0.373929840225281,0.8643443489344824,0.5021238538114214,0.9360109276510955,0.16444529718549664,0.34383763164294256,1.0000000181399205,0.12999622433594954,0.2566539917215319,0.41402326677820245,0.18975886312847742,0.1895454751452531,0.3839494382056614,0.31353428002365263,0.2105729974370083,0.0,0.0,0.0,0.150819329276038,1.6433895798196871e-21,0.0,0.9931064511167205,0.15879627131676827,0.0,0.0,0.0,0.0,0.0,0.27966679087744784,0.28101179924114206,0.4685627603271364,0.7712011490717815,0.8326480650070562,0.5689064182975052,0.18611751281642713,0.05095492192276452,1.0000033376826105,0.7652919509634253,0.5431725075521061,0.3849841266771181,0.26437083897469055,0.6366650403721236,0.48942247045450404,0.016434106336894013,0.11360195758281721
4,10,150000,0.0895191002554806,0.8685882639688214,0.35409632699460514,0.22097101607925904,0.5801252115138753,0.5298199661707856,1.0000050627877741,0.41093763346191664,0.9117997227304865,0.25601384801943683,0.4293490954681563,0.4727236689465581,0.12359829391782373,0.0102832142027893,0.025601129177555786,0.19740721191766608,0.6480386133646389,0.5811649736796074,0.968504496988451,0.7342598803239934,0.9866327427053725,1.0000076996991178,0.6826956555093373,0.9614564112763707,0.06287051692838003,0.8184868829345155,0.8700197082486848,0.0739735385453828,0.01493242998974748,0.06842750434311962,0.7122769124723849,0.5554601503822524,0.7661063390000336,0.34951622350840045,0.2659975740851489,0.9866327427053725,0.9999911022829585,0.7997783136135237,0.7695720379821073,0.5909500862399184,0.33580325836635755,0.4369920612117142,0.6096728661984878,0.0323882011058652,0.0033731782835719724,0.8882000716729352,0.6248833605723939,0.9723420422018345,0.5251693261792487,0.38599688324697873,0.9732692370089963,0.999998878058746,0.724159574559183,0.9723432475764432,0.3431970645386178,0.7188704358682554,0.8100620027954722,0.7085755988547309,0.44720290692967807,0.03988710361087244
16,10,150000,0.7715921276478699,0.4527763485758101,0.5384238879910368,0.9266317910720305,0.9799691709183729,0.5860905132997063,1.0000077917037093,0.533109571852103,0.6266623352688623,0.504255265380592,0.027897290355899954,0.17943698142853282,0.8027434196027639,0.23557806367845074,0.026104654400081594,0.9432354517002745,0.5809345339430118,0.8766694134715092,0.2716106039233032,0.18611751281642713,0.07854585095119071,0.9999979946618222,0.427052386459131,0.2441741881832612,0.3304048273599574,0.6330889242739807,0.8910815215822607,0.9649264615566882,0.11101113276116101,0.09821805431323793,0.7954382321102665,0.4187141547488488,0.9098265225154831,0.7527808337599616,0.8528615940723323,0.02758265917780243,0.9999999992273897,0.6998994681320415,0.004595110301188035,0.4875921539794769,0.6931922690423896,0.8804785401169887,0.8868837397715732,0.025904771868610323,0.20117320607364986,0.0,0.0,0.0,0.5095731410790495,0.4840254717229312,5.265879537368295e-139,0.9985487107448042,0.1689775532622547,0.0,0.9437473853618057,0.0,0.0,0.0,0.22656393475196054,0.4027283431983433
5,10,150000,0.9272644735252321,0.9658733313226333,0.9417764498962976,0.813025282347905,0.8428330849476068,0.10060921252778054,1.0000000045301145,0.528195962419203,0.7167368985031519,0.3203770480224493,0.31842433197404485,0.6800715433368647,0.7986066645327092,0.1143230667976997,0.2774734500181445,0.7259316479612188,0.867543632038852,0.720375033352767,0.6744963183893187,0.1029720291136549,0.09550673869734316,0.9999756044157118,0.6164960447294263,0.13626393412886395,0.033565849803522396,0.07114479010183235,0.21156772100749865,0.7927886857260633,0.014811157319509912,0.2372724829863797,0.23175083892289172,0.12116979688524242,0.5019953323607802,0.9231537593877432,0.41673041323669807,0.060591386516437806,0.9999999632149367,0.5764972641526095,0.021916061506967798,0.4836963329124069,0.5467767709861785,0.7391004618390214,0.1936216415750307,0.06673641846916188,0.04348530204996626,0.6906215428496917,0.8301322496116048,0.35171232258769347,0.2834548250349405,0.46904712765671874,0.663121118575293,1.0000000051517115,0.9797450213080263,0.9685757859786334,0.5284272936853478,0.10166652150114809,0.1007749134760131,0.608848453419726,0.34255225962583485,0.07182737344140255
